id;nom;insee;pop_2010;densite_2010;surface;coord1_degree;coord2_degree;coord1_grd;coord2_grd;coord1_dms;coord2_dms
35572;SAINT-GEORGES-SUR-BAULCHE;89346;3447;359;9.6;3.53306;47.8053;1329;53117;33159;474819
35573;CHAMPLAY;89075;700;33;21.08;3.43333;47.95;1227;53279;32629;475704
35574;COURGENAY;89122;562;18;29.87;3.55;48.2833;1346;53652;33253;481711
35575;CHENE-ARNOULT;89097;123;13;9.1;3.06667;47.9;814;53225;30409;475407
35576;VEZANNES;89445;46;5;9.01;3.86667;47.8667;1709;53196;35229;475236
35577;SAINT-SEROTIN;89369;541;38;14.1;3.16667;48.25;913;53608;30928;481450
35578;TISSEY;89417;105;17;5.97;3.9;47.85;1740;53169;35410;475106
35579;LUCY-SUR-CURE;89233;218;20;10.58;3.75;47.6333;1563;52921;34435;473743
35580;AIGREMONT;89002;72;10;6.82;3.88333;47.7167;1726;53021;35325;474308
35581;SENAN;89384;756;43;17.54;3.35;47.9167;1136;53237;32133;475448
35582;CHATEL-GERARD;89092;251;8;30.67;4.08333;47.6333;1955;52925;40547;473756
35583;MICHERY;89255;1036;60;17.05;3.23333;48.3;998;53677;31405;481834
35584;THORY;89415;197;23;8.25;3.91306;47.565;1752;52850;35447;473354
35585;SAINT-AUBIN-SUR-YONNE;89335;452;50;8.87;3.35;48;1121;53335;32045;480004
35586;SAINT-MARTIN-SUR-OUANNE;89358;444;28;15.34;3.1;47.8333;853;53156;30616;475025
35587;TALCY;89406;87;12;6.88;4.06667;47.5667;1925;52858;40410;473420
35588;PERREUX;89294;329;12;26.37;3.15;47.8667;909;53177;30917;475133
35589;PERRIGNY;89295;1151;91;12.62;3.53778;47.82;1335;53133;33216;474912
35590;CARISEY;89062;372;32;11.29;3.85;47.9167;1678;53248;35049;475524
35591;SAINT-DENIS-SUR-OUANNE;89343;126;12;10.21;3.13333;47.8167;882;53136;30749;474920
35592;GISY-LES-NOBLES;89189;603;55;10.91;3.25;48.2833;1009;53646;31441;481651
35593;FONTAINE-LA-GAILLARDE;89172;505;47;10.61;3.38333;48.2167;1159;53577;32248;481310
35594;AILLANT-SUR-THOLON;89003;1403;77;18.2;3.35;47.8667;1127;53194;32103;475229
35595;JULLY;89210;143;7;19.76;4.28333;47.7833;2177;53084;41745;474630
35596;SAINT-FLORENTIN;89345;4771;166;28.6;3.73333;48;1543;53335;34330;480007
35597;VAREILLES;89429;219;21;10.41;3.46667;48.1667;1261;53528;32818;481029
35598;BIERRY-LES-BELLES-FONTAINES;89042;200;7;26.9;4.18417;47.5962;2053;52885;41103;473546
35599;GERMIGNY;89186;560;47;11.87;3.78333;47.9833;1605;53328;34651;475942
35600;VASSY-SOUS-PISY;89431;79;10;7.45;4.16667;47.5667;2035;52855;41004;473409
35601;BLACY;89043;109;12;9.06;4.05;47.5667;1897;52858;40237;473421
35602;LAIN;89215;163;16;10.18;3.35;47.6167;1120;52909;32041;473705
35603;COURTELEVANT;90028;432;74;5.82;7.08333;47.5167;5270;52797;70448;473102
35604;MEZIRE;90069;1407;359;3.91;6.91667;47.5333;5092;52812;65511;473152
35605;REPPE;90084;317;81;3.88;7.03333;47.6667;5210;52957;70134;473942
35606;SERMAMAGNY;90093;815;103;7.9;6.83333;47.7;4999;52992;65009;474132
35607;BELFORT;90010;50078;2928;17.1;6.86667;47.6333;5014;52935;65058;473828
35608;VAUTHIERMONT;90100;231;48;4.74;7.03333;47.6833;5218;52983;70157;474106
35609;SAINT-GERMAIN-LE-CHATELET;90091;607;180;3.36;6.96667;47.7;5135;52996;65731;474146
35610;MEROUX;90068;819;92;8.85;6.90001;47.5956;5070;52884;65360;473544
35611;FELON;90044;256;62;4.11;6.98333;47.7;5154;53008;65831;474225
35612;BESSONCOURT;90012;926;118;7.8;6.93333;47.65;5106;52940;65556;473844
35613;BOUROGNE;90017;1971;143;13.71;6.91667;47.5667;5090;52847;65504;473344
35614;GROSNE;90055;323;88;3.65;7;47.5667;5181;52861;65957;473429
35615;PHAFFANS;90080;319;98;3.24;6.93333;47.6667;5109;52956;65604;473937
35616;MONTREUX-CHATEAU;90071;1111;238;4.66;7;47.6167;5183;52900;70004;473637
35617;RIERVESCEMONT;90085;93;10;8.52;6.88112;47.7653;5049;53073;65252;474555
35618;DANJOUTIN;90032;3486;616;5.65;6.86667;47.6167;5030;52909;65150;473704
35619;BETHONVILLIERS;90013;246;129;1.9;6.96667;47.6833;5139;52978;65744;474050
35620;LAMADELEINE-VAL-DES-ANGES;90061;33;5;6.52;6.91667;47.7667;5085;53068;65448;474540
35621;ANGEOT;90002;316;48;6.56;7.01667;47.7;5197;52996;70050;474147
35622;BERMONT;90011;356;129;2.74;6.85;47.5833;5019;52867;65112;473448
35623;DENNEY;90034;792;227;3.48;6.91667;47.65;5090;52955;65502;473932
35624;AUTRECHENE;90082;312;105;2.96;6.95945;47.595;5136;52883;65734;473542
35625;MENONCOURT;90067;426;90;4.7;6.95;47.6667;5119;52967;65638;474014
35626;NOVILLARD;90074;256;67;3.79;6.96667;47.6;5149;52897;65814;473625
35627;OFFEMONT;90075;3395;611;5.55;6.88333;47.6667;5045;52959;65239;473948
35628;GROSMAGNY;90054;548;57;9.46;6.88333;47.7167;5052;53025;65302;474320
35629;VEZELOIS;90104;928;98;9.43;6.91667;47.6;5089;52897;65459;473628
35630;CHATENOIS-LES-FORGES;90022;2696;310;8.67;6.85;47.5667;5013;52844;65054;473333
35631;PETIT-CROIX;90077;327;86;3.79;6.98333;47.6167;5151;52904;65822;473649
35632;JONCHEREY;90056;1328;256;5.18;7;47.5333;5183;52810;70005;473144
35633;CHEVREMONT;90026;1519;172;8.83;6.91667;47.6333;5096;52921;65523;473744
35634;LARIVIERE;90062;307;63;4.84;7;47.6667;5179;52974;65952;474035
35635;LEPUIX;90065;1155;38;29.69;6.81667;47.7667;4975;53067;64850;474538
35636;CHARMOIS;90021;293;70;4.17;6.93333;47.5667;5112;52860;65617;473426
35637;FONTAINE;90047;611;87;6.96;7;47.6667;5180;52955;65956;473934
35638;AUXELLES-BAS;90005;477;50;9.41;6.78333;47.7333;4938;53038;64650;474403
35639;FROIDEFONTAINE;90051;472;103;4.55;6.95;47.5667;5123;52850;65651;473354
35640;CRAVANCHE;90029;2002;1482;1.35;6.83333;47.65;4995;52949;64957;473914
35641;ROPPE;90087;844;113;7.43;6.91667;47.6667;5092;52967;65510;474014
35642;FECHE-L'EGLISE;90045;789;200;3.93;6.95;47.5;5128;52784;65706;473019
35643;AUXELLES-HAUT;90006;310;47;6.48;6.76667;47.75;4929;53048;64623;474436
35644;LACHAPELLE-SOUS-ROUGEMONT;90058;560;114;4.89;7.01667;47.7167;5199;53014;70057;474244
35645;TREVENANS;90097;1150;192;5.96;6.86195;47.5709;5028;52857;65143;473415
35646;ARGIESANS;90004;418;153;2.73;6.81667;47.6;4984;52893;64922;473614
35647;ROUGEMONT-LE-CHATEAU;90089;1392;83;16.64;6.96667;47.7333;5145;53040;65802;474408
35648;MORVILLARS;90072;1139;216;5.27;6.93333;47.55;5108;52830;65600;473249
35649;GIROMAGNY;90052;3187;564;5.65;6.83333;47.75;4988;53047;64932;474432
35650;DELLE;90033;5916;643;9.2;7;47.5;5179;52785;65953;473025
35651;VALDOIE;90099;5165;1108;4.66;6.85;47.6667;5006;52964;65031;474002
35652;BORON;90014;428;70;6.05;7.01667;47.5667;5193;52846;70037;473340
35653;CROIX;90030;162;29;5.41;6.95;47.45;5131;52717;65717;472643
35654;MOVAL;90073;322;277;1.16;6.88333;47.5833;5050;52874;65253;473512
35655;ETUEFFONT;90041;1469;117;12.53;6.92167;47.7189;5095;53021;65518;474308
35656;GRANDVILLARS;90053;3049;200;15.17;6.96667;47.55;5152;52821;65823;473220
35657;SUARCE;90095;449;38;11.81;7.08333;47.5667;5272;52849;70453;473349
35658;PEROUSE;90076;1084;221;4.9;6.9;47.6333;5060;52930;65326;473813
35659;COURCELLES;90027;125;23;5.32;7.0764;47.4984;5266;52776;70435;472954
35660;BOTANS;90015;286;124;2.29;6.85;47.6;5015;52885;65101;473548
35661;EVETTE-SALBERT;90042;2080;227;9.16;6.79834;47.675;4957;52972;64754;474030
35662;RECHESY;90081;814;64;12.61;7.11667;47.5;5307;52787;70647;473030
35663;BOURG-SOUS-CHATELET;90016;128;152;0.84;6.95;47.7;5123;53002;65651;474207
35664;CUNELIERES;90031;285;141;2.02;7;47.6333;5178;52918;65950;473733
35665;FRAIS;90050;246;87;2.81;6.98333;47.65;5167;52941;65912;473848
35666;LEVAL;90066;196;32;6;6.98333;47.7333;5161;53032;65854;474344
35667;BAVILLIERS;90008;4923;1025;4.8;6.83333;47.6167;4993;52911;64950;473710
35668;BANVILLARS;90007;274;58;4.67;6.81667;47.6;4976;52880;64853;473532
35669;ELOIE;90037;997;179;5.55;6.86667;47.6833;5041;52989;65225;474126
35670;FOUSSEMAGNE;90049;970;190;5.1;7;47.6333;5188;52927;70021;473803
35671;VESCEMONT;90102;722;102;7.05;6.85;47.75;5009;53048;65042;474436
35672;BREBOTTE;90018;337;89;3.78;6.96667;47.5833;5151;52865;65821;473442
35673;VELLESCOT;90101;254;71;3.55;7.01667;47.5667;5197;52858;70050;473421
35674;CHAVANATTE;90024;164;42;3.86;7.06667;47.5833;5256;52866;70401;473447
35675;ESSERT;90039;3169;452;7.01;6.81667;47.6333;4977;52924;64859;473755
35676;URCEREY;90098;217;64;3.39;6.8;47.6;4969;52898;64833;473629
35677;ROUGEGOUTTE;90088;1007;124;8.07;6.85;47.7333;5016;53036;65104;474356
35678;ROMAGNY-SOUS-ROUGEMONT;90086;209;84;2.47;6.96667;47.7167;5146;53020;65806;474306
35679;PETITEFONTAINE;90078;193;61;3.13;7.00778;47.7214;5190;53024;70028;474317
35680;PETITMAGNY;90079;279;126;2.2;6.89834;47.7214;5068;53024;65354;474317
35681;ANDELNANS;90001;1267;303;4.17;6.86667;47.6;5036;52892;65207;473609
35682;SAINT-DIZIER-L'EVEQUE;90090;412;38;10.83;6.96667;47.4667;5138;52745;65740;472815
35683;SEVENANS;90094;718;355;2.02;6.86667;47.5833;5032;52873;65157;473510
35684;LEBETAIN;90063;451;93;4.84;6.98333;47.4833;5156;52763;65837;472913
35685;LACHAPELLE-SOUS-CHAUX;90057;691;61;11.16;6.81667;47.7;4983;53005;64916;474217
35686;BUC;90020;306;125;2.44;6.78333;47.6167;4943;52905;64707;473653
35687;LAGRANGE;90060;106;113;0.93;6.98333;47.6833;5158;52978;65845;474050
35688;DORANS;90035;555;147;3.77;6.83333;47.5833;5002;52875;65019;473516
35689;THIANCOURT;90096;248;92;2.67;7;47.5333;5171;52804;65925;473124
35690;EGUENIGUE;90036;264;106;2.49;6.93333;47.6667;5109;52967;65605;474013
35691;FAVEROIS;90043;516;79;6.5;7.03333;47.5167;5221;52802;70209;473120
35692;ANJOUTEY;90003;684;88;7.69;6.93333;47.7;5106;53001;65557;474204
35693;VILLARS-LE-SEC;90105;151;49;3.05;7;47.45;5172;52728;65929;472718
35694;CHAUX;90023;1080;116;9.26;6.83333;47.7167;5001;53006;65015;474220
35695;FLORIMONT;90046;430;23;18.19;7.06667;47.5;5257;52790;70405;473039
35696;BEAUCOURT;90009;5060;1022;4.95;6.91667;47.4833;5098;52762;65531;472910
35697;VETRIGNE;90103;540;219;2.46;6.9;47.6667;5064;52965;65338;474006
35698;MONTBOUTON;90070;410;145;2.81;6.91667;47.4667;5092;52747;65509;472822
35699;FONTENELLE;90048;146;83;1.75;6.95;47.6167;5133;52913;65723;473718
35700;CHAVANNES-LES-GRANDS;90025;318;45;6.93;7.05;47.5833;5234;52879;70249;473528
35701;LACOLLONGE;90059;256;133;1.92;6.96667;47.6667;5137;52960;65736;473950
35702;BRETAGNE;90019;248;53;4.67;7;47.6;5179;52884;65952;473543
35703;LEPUIX-NEUF;90064;285;52;5.46;7.1;47.5333;5292;52822;70558;473224
35704;RECOUVRANCE;90083;75;50;1.5;6.98333;47.5667;5161;52860;65852;473427
35705;JANVRY;91319;584;70;8.24;2.15;48.65;-204;54053;20912;483851
35706;BRUNOY;91114;25377;3833;6.62;2.5;48.7;185;54109;23012;484153
