id;nom;insee;pop_2010;densite_2010;surface;coord1_degree;coord2_degree;coord1_grd;coord2_grd;coord1_dms;coord2_dms
16528;SAINT-BERAIN;43171;96;7;13;3.63333;45.0333;1441;50037;33760;450158
16529;SAINT-ANDRE-DE-CHALENCON;43166;340;19;17.2;4;45.2833;1815;50303;35811;451622
16530;MONTREGARD;43142;607;15;39.93;4.35;45.15;2233;50176;42048;450931
16531;SAINT-ARCONS-DE-BARGES;43168;115;7;15.38;3.93333;44.8333;1763;49822;35523;445022
16532;CHENEREILLES;43069;301;20;14.42;4.23333;45.1333;2128;50148;41507;450800
16533;QUEYRIERES;43158;310;22;13.95;4.1;45.0667;1957;50080;40553;450420
16534;JAX;43106;134;11;11.93;3.61667;45.1667;1424;50187;33705;451005
16535;SAINT-HOSTIEN;43194;684;50;13.49;4.05;45.0667;1901;50080;40252;450420
16536;CHASTEL;43065;145;5;27.69;3.31667;45.0833;1096;50093;31922;450500
16537;CHADRAC;43046;2671;1077;2.48;3.9;45.0667;1743;50071;35421;450349
16538;LES ESTABLES;43091;344;10;33.94;4.15;44.9083;2020;49894;40916;445416
16539;CHASPUZAC;43062;687;70;9.77;3.73333;45.0667;1569;50076;34457;450405
16540;GREZES;43104;213;5;35.79;3.5;44.9167;1278;49911;32914;445511
16541;SAINT-PIERRE-DU-CHAMP;43217;489;15;31.09;3.89945;45.2478;1736;50275;35358;451452
16542;SAINT-PAL-DE-CHALENCON;43212;1018;35;28.95;3.95695;45.3567;1800;50396;35725;452124
16543;SAINT-ROMAIN-LACHALM;43223;1074;56;19.02;4.33333;45.2667;2220;50296;42003;451558
16544;ESPALEM;43088;287;19;14.62;3.25;45.3167;996;50342;31358;451827
16545;COSTAROS;43077;620;161;3.85;3.83333;44.9;1682;49883;35101;445342
16546;SAINTE-MARGUERITE;43208;37;6;5.39;3.58333;45.2;1394;50229;33529;451223
16547;SAINT-VINCENT;43230;978;47;20.4;3.90945;45.1442;1748;50160;35434;450839
16548;LA CHOMETTE;43072;140;20;6.9;3.48333;45.2333;1264;50255;32828;451347
16549;LAVAL-SUR-DOULON;43116;62;5;12.28;3.58333;45.35;1361;50391;33341;452106
16550;CHASSAGNES;43063;178;14;12.24;3.55;45.2167;1335;50238;33217;451252
16551;PONT-SALOMON;43153;1870;221;8.43;4.25;45.3333;2124;50375;41452;452016
16552;CRAPONNE-SUR-ARZON;43080;2164;64;33.37;3.85;45.3333;1680;50368;35053;451951
16553;FELINES;43093;283;13;20.5;3.75;45.2667;1563;50302;34436;451620
16554;AUBAZAT;43011;188;11;16.38;3.45;45.1333;1224;50155;32616;450821
16555;SAINT-GERON;43191;233;21;10.76;3.28333;45.3333;1066;50380;31744;452030
16556;BESSAMOREL;43028;409;55;7.37;4.08723;45.1206;1945;50134;40514;450714
16557;SAINT-DIDIER-EN-VELAY;43177;3367;131;25.56;4.28333;45.3;2154;50336;41631;451810
16558;CAYRES;43042;708;24;29.22;3.8;44.9167;1634;49917;34825;445532
16559;OUIDES;43145;55;5;10.69;3.73333;44.9;1557;49893;34416;445413
16560;SENEUJOLS;43238;304;24;12.24;3.78333;44.9667;1606;49956;34655;445736
16561;SAINT-VIDAL;43229;521;67;7.71;3.78333;45.0667;1626;50083;34800;450429
16562;COHADE;43074;823;82;9.99;3.38333;45.3333;1152;50375;32225;452015
16563;VARENNES-SAINT-HONORAT;43252;34;2;11.91;3.63333;45.1833;1446;50199;33818;451045
16564;SAINT-VICTOR-SUR-ARLANC;43228;106;8;11.88;3.78333;45.3333;1597;50372;34627;452004
16565;CHAZELLES;43068;34;6;4.9;3.48806;45.0192;1280;50021;32917;450109
16566;SALETTES;43231;148;7;20.28;3.96528;44.8634;1810;49848;35755;445148
16567;SAINT-CIRGUES;43175;161;11;13.62;3.41667;45.15;1186;50161;32413;450841
16568;CERZAT;43044;194;18;10.41;3.48333;45.1667;1269;50179;32843;450939
16569;SAINT-ILPIZE;43195;176;14;11.81;3.4;45.2;1168;50218;32316;451145
16570;LAMOTHE;43110;824;67;12.24;3.42445;45.3131;1209;50348;32528;451847
16571;CRONCE;43082;81;5;16.15;3.36667;45.1;1138;50103;32138;450533
16572;MONTCLARD;43139;62;6;9.58;3.56667;45.2667;1394;50292;33528;451547
16573;ESPLANTAS;43090;101;9;10.4;3.56667;44.9;1345;49899;33248;445434
16574;ARLET;43009;23;3;5.78;3.43333;45.1167;1203;50129;32509;450658
16575;MONLET;43138;416;11;35.7;3.71667;45.2167;1531;50244;34252;451310
16576;YSSINGEAUX;43268;7009;86;80.57;4.11667;45.1333;1986;50159;40725;450834
16577;MALVALETTE;43127;732;34;21.01;4.15;45.35;2024;50394;40931;452118
16578;PAULHAGUET;43148;940;83;11.23;3.53333;45.2;1307;50231;33048;451229
16579;BLESLE;43033;634;21;29.8;3.18333;45.3167;927;50354;31014;451908
16580;ALLEYRAS;43005;173;6;24.86;3.68333;44.9;1495;49896;34057;445423
16581;SAINT-JUST-MALMONT;43205;4126;177;23.28;4.31667;45.3333;2196;50377;41846;452022
16582;FREYCENET-LA-TOUR;43098;129;16;7.93;4.06667;44.9333;1914;49932;40335;445620
16583;BRIVES-CHARENSAC;43041;4231;868;4.87;3.93333;45.05;1767;50052;35536;450248
16584;RETOURNAC;43162;2714;59;45.76;4.03333;45.2;1885;50227;40160;451214
16585;LA CHAISE-DIEU;43048;722;53;13.58;3.7;45.3167;1511;50357;34148;451917
16586;CONNANGLES;43076;137;6;21.89;3.65;45.3;1456;50332;33850;451756
16587;VALS-PRES-LE-PUY;43251;3518;687;5.12;3.86667;45.0167;1709;50031;35229;450142
16588;BEAUNE-SUR-ARZON;43023;209;14;14.38;3.81667;45.2833;1643;50311;34857;451647
16589;VILLENEUVE-D'ALLIER;43264;329;22;14.31;3.4;45.2;1164;50220;32302;451152
16590;COLLAT;43075;85;8;10.22;3.61667;45.25;1416;50271;33641;451437
16591;CHAMPAGNAC-LE-VIEUX;43052;232;11;20.61;3.5;45.35;1296;50398;33010;452128
16592;VALS-LE-CHASTEL;43250;46;11;3.99;3.53333;45.2667;1316;50301;33116;451615
16593;SAINT-FERREOL-D'AUROURE;43184;2390;220;10.85;4.25;45.35;2131;50395;41517;452118
16594;JULLIANGES;43108;439;23;18.44;3.78333;45.3;1616;50340;34728;451823
16595;LE VERNET;43260;31;8;3.82;3.66667;45.0333;1484;50041;34018;450212
16596;CEAUX-D'ALLEGRE;43043;462;14;32.41;3.73333;45.1667;1567;50201;34450;451052
16597;MERCOEUR;43133;136;4;27.51;3.29335;45.1918;1061;50215;31730;451135
16598;SAINT-PRIVAT-D'ALLIER;43221;401;13;29.96;3.68333;44.9833;1491;49989;34044;445925
16599;SAINT-HAON;43192;347;9;37.57;3.75;44.85;1580;49829;34530;445046
16600;MONTUSCLAT;43143;130;12;10.47;4.13333;45.0167;1987;50015;40728;450048
16601;ROSIERES;43165;1431;53;26.82;3.98333;45.1333;1835;50148;35918;450758
16602;THORAS;43245;216;5;37.56;3.56667;44.8667;1362;49850;33344;445154
16603;VERGONGHEON;43258;1838;145;12.61;3.33333;45.3667;1092;50412;31911;452216
16604;SAINT-JUST-PRES-BRIOUDE;43206;425;9;46.94;3.36667;45.2333;1129;50265;32108;451418
16605;SAINT-CHRISTOPHE-D'ALLIER;43173;105;5;19.3;3.70445;44.8556;1520;49840;34216;445120
16606;SAINT-PREJET-ARMANDON;43219;107;12;8.47;3.55;45.25;1339;50283;33229;451517
16607;MALREVERS;43126;720;51;14.09;3.95;45.1;1811;50109;35758;450553
16608;MALVIERES;43128;134;9;13.72;3.73333;45.3333;1551;50375;34356;452014
16609;LAVAUDIEU;43117;224;12;17.54;3.46667;45.2667;1241;50292;32714;451546
16610;PRADELLES;43154;613;35;17.48;3.88223;44.7695;1717;49744;35256;444610
16611;RAURET;43160;178;8;20.75;3.78333;44.8167;1616;49797;34728;444903
16612;SAINT-PAL-DE-SENOUIRE;43214;101;5;18.35;3.65;45.2667;1460;50288;33903;451533
16613;SAINT-VICTOR-MALESCOURS;43227;790;54;14.47;4.31667;45.2833;2195;50324;41844;451730
16614;MAZERAT-AUROUZE;43131;200;12;16.35;3.56667;45.1833;1360;50207;33337;451111
16615;SAINT-VINCENT-DES-LANDES;44193;1462;43;33.7;-1.5;47.65;-4259;52951;-12948;473920
16616;CORCOUE-SUR-LOGNE;44156;2553;50;50.39;0.423057;46.9656;-4348;52184;-13437;465756
16617;INDRE;44074;4006;848;4.72;0.32889;47.1987;-4453;52443;-14016;471155
16618;SAINT-MALO-DE-GUERSAC;44176;3212;219;14.62;-2.16667;47.35;-5018;52612;-21047;472103
16619;MAISDON-SUR-SEVRE;44088;2636;151;17.45;-1.38333;47.1;-4135;52330;-12306;470550
16620;PIRIAC-SUR-MER;44125;2209;178;12.37;-2.55;47.3833;-5425;52645;-23246;472248
16621;LE LANDREAU;44079;2876;119;23.98;-1.3;47.2;-4046;52450;-11820;471218
16622;MOUZEIL;44107;1783;94;18.87;-1.35;47.45;-4094;52720;-12053;472653
16623;SAINTE-PAZANNE;44186;5437;130;41.56;-1.81667;47.1;-4608;52337;-14839;470611
16624;JOUE-SUR-ERDRE;44077;2163;39;54.53;-1.41667;47.5;-4174;52773;-12513;472944
16625;GUENROUET;44068;3007;43;69.9;-1.95;47.5167;-4768;52799;-15719;473109
16626;BRAINS;44024;2584;168;15.31;-1.71667;47.1667;-4509;52410;-14318;471009
16627;ERBRAY;44054;2940;50;58.18;-1.31667;47.65;-4060;52951;-11904;473921
16628;CARQUEFOU;44026;17805;410;43.42;-1.5;47.3;-4255;52552;-12934;471749
16629;SAINT-HERBLAIN;44162;43153;1437;30.02;-1.65;47.2167;-4430;52457;-13904;471241
16630;OUDON;44115;3355;151;22.12;-1.28333;47.35;-4026;52607;-11713;472047
16631;TREFFIEUX;44208;786;41;19.12;-1.53333;47.6167;-4304;52911;-13215;473711
16632;SAINT-VIAUD;44192;2116;64;32.63;-2.01667;47.25;-4840;52506;-20110;471521
16633;SAINT-MEME-LE-TENU;44181;1152;63;18.27;-1.78333;47.0167;-4590;52245;-14742;470114
16634;VALLET;44212;8425;142;58.96;-1.26667;47.1667;-4004;52402;-11601;470942
16635;LA MARNE;44090;1364;76;17.8;-1.73333;47;-4530;52217;-14428;465944
16636;SAINT-PERE-EN-RETZ;44187;4135;65;62.72;-2.03333;47.2;-4868;52452;-20241;471225
16637;FAY-DE-BRETAGNE;44056;3230;49;64.81;-1.8;47.4167;-4587;52683;-14729;472454
16638;JUIGNE-DES-MOUTIERS;44078;353;14;24.65;-1.18333;47.6833;-3913;52977;-11107;474044
16639;SAINT-HILAIRE-DE-CLISSON;44165;2019;109;18.43;-1.31667;47.0667;-4051;52291;-11834;470344
16640;BOUSSAY;44022;2684;101;26.45;-1.18333;47.05;-3914;52271;-11111;470239
16641;DONGES;44052;6748;139;48.5;-2.06667;47.3;-4903;52581;-20434;471923
16642;MISSILLAC;44098;4843;81;59.55;-2.16667;47.4833;-4995;52758;-20932;472856
16643;TEILLE;44202;1740;60;28.55;0.720279;47.4617;-4018;52735;-11647;472742
16644;LA CHAPELLE-SAINT-SAUVEUR;44034;780;41;18.7;-0.983333;47.4333;-3692;52712;-5911;472628
16645;BLAIN;44015;9434;92;101.72;-1.75;47.4833;-4556;52751;-14549;472834
16646;COUFFE;44048;2290;57;39.97;-1.28333;47.4;-4032;52657;-11734;472329
16647;PORNIC;44131;14101;149;94.18;-2.1;47.1167;-4933;52351;-20612;470656
16648;LA PLANCHE;44127;2382;97;24.42;-1.43333;47.0167;-4191;52241;-12607;470059
16649;PANNECE;44118;1349;44;30.59;-1.23333;47.4833;-3973;52762;-11422;472910
16650;LA TURBALLE;44211;4582;247;18.53;-2.51667;47.35;-5381;52606;-23024;472044
16651;PETIT-AUVERNE;44121;433;19;22.53;-1.28333;47.6167;-4030;52900;-11726;473636
16652;LA REMAUDIERE;44141;1140;87;12.98;-1.25;47.2333;-3978;52486;-11436;471415
16653;REMOUILLE;44142;1695;79;21.38;-1.36667;47.05;-4126;52284;-12237;470320
16654;PAIMBOEUF;44116;3206;1603;2;-2.03333;47.2833;-4853;52542;-20154;471715
16655;MONTRELAIS;44104;822;59;13.73;-0.966667;47.3833;-3670;52654;-5759;472320
16656;CORSEPT;44046;2742;116;23.62;-2.05;47.2833;-4884;52531;-20333;471639
16657;SUCE-SUR-ERDRE;44201;6258;151;41.33;0.470557;47.3448;-4295;52605;-13146;472041
16658;LE FRESNE-SUR-LOIRE;44060;982;156;6.29;-0.928333;47.4009;-3627;52668;-5542;472403
16659;SAINT-LYPHARD;44175;4326;175;24.63;-2.3;47.4;-5160;52664;-21828;472352
16660;LA CHAPELLE-GLAIN;44031;822;23;34.5;-1.2;47.6167;-3926;52915;-11149;473723
16661;PRINQUIAU;44137;3103;135;22.82;-2;47.3667;-4831;52625;-20040;472146
16662;LA ROUXIERE;44147;1014;48;20.96;-1.06667;47.45;-3782;52714;-10404;472634
16663;GRANDCHAMPS-DES-FONTAINES;44066;4837;142;33.87;0.394723;47.365;-4380;52628;-13619;472154
16664;MALVILLE;44089;3161;101;31.24;-1.86667;47.3667;-4667;52623;-15150;472140
16665;LE POULIGUEN;44135;4979;1134;4.39;-2.43333;47.2667;-5296;52530;-22549;471637
16666;AVESSAC;44007;2437;31;76.49;-1.98333;47.65;-4807;52948;-15923;473912
16667;SAINT-HERBLON;44163;2407;65;36.9;-1.1;47.4167;-3814;52676;-10545;472430
16668;MONTOIR-DE-BRETAGNE;44103;6793;184;36.79;-2.15;47.3333;-4984;52587;-20857;471942
16669;BASSE-GOULAINE;44009;8091;588;13.74;-1.43333;47.2167;-4224;52462;-12756;471255
16670;TRANS-SUR-ERDRE;44207;970;42;22.56;-1.36667;47.4833;-4122;52752;-12225;472835
16671;LE LOROUX-BOTTEREAU;44084;7052;155;45.31;-1.35;47.25;-4095;52487;-12057;471417
16672;SAINT-MICHEL-CHEF-CHEF;44182;4435;176;25.12;-2.15;47.1833;-4983;52423;-20855;471051
16673;TRIGNAC;44210;7264;505;14.38;-2.18333;47.3167;-5028;52576;-21121;471905
16674;LES TOUCHES;44205;2268;64;35.15;-1.425;47.4417;-4185;52713;-12550;472631
16675;THOUARE-SUR-LOIRE;44204;7674;601;12.76;-1.45;47.2667;-4197;52519;-12626;471603
16676;SAINT-ANDRE-DES-EAUX;44151;5336;215;24.71;-2.31667;47.3167;-5164;52571;-21839;471850
16677;BOUGUENAIS;44020;18194;577;31.5;-1.61667;47.1833;-4401;52421;-13729;471045
16678;LES SORINIERES;44198;7444;571;13.02;-1.53333;47.15;-4296;52385;-13148;470847
16679;SION-LES-MINES;44197;1678;30;54.71;-1.58333;47.7333;-4365;53039;-13531;474406
16680;PUCEUL;44138;960;47;20.09;-1.61667;47.5167;-4392;52802;-13701;473119
16681;SAINT-GEREON;44160;2692;358;7.51;-1.2;47.3667;-3928;52632;-11154;472209
16682;SAINT-SEBASTIEN-SUR-LOIRE;44190;25017;2145;11.66;-1.5;47.2167;-4265;52452;-13009;471226
16683;ASSERAC;44006;1789;54;32.91;-2.38333;47.4333;-5252;52699;-22326;472545
16684;SAVENAY;44195;7565;290;26;-1.95;47.3667;-4754;52623;-15631;472140
16685;LA CHEVROLIERE;44041;5017;154;32.56;-1.61667;47.1;-4387;52323;-13643;470527
16686;LE CELLIER;44028;3713;103;35.99;-1.35;47.3167;-4092;52577;-12047;471910
16687;PAULX;44119;1909;53;35.92;-1.75;46.9667;-4546;52181;-14517;465746
16688;GRAND-AUVERNE;44065;805;23;34.4;-1.33333;47.6;-4074;52879;-11950;473529
16689;VILLEPOT;44218;653;31;20.59;-1.28333;47.7833;-4015;53084;-11639;474631
16690;SAINT-JEAN-DE-BOISEAU;44166;5131;450;11.4;-1.71667;47.2;-4512;52438;-14329;471139
16691;HERBIGNAC;44072;5817;81;71.43;-2.31667;47.45;-5171;52721;-21903;472656
16692;SAINT-FIACRE-SUR-MAINE;44159;1194;200;5.97;-1.41667;47.15;-4170;52381;-12500;470836
16693;LA CHAPELLE-BASSE-MER;44029;5195;234;22.14;-1.33333;47.2667;-4083;52524;-12017;471618
16694;PREFAILLES;44136;1256;257;4.88;-2.21667;47.1333;-5057;52365;-21254;470742
16695;QUILLY;44139;1280;72;17.67;-1.95;47.4667;-4766;52735;-15712;472742
16696;SAINT-LEGER-LES-VIGNES;44171;1518;233;6.49;-1.73333;47.1333;-4521;52373;-14356;470810
16697;GORGES;44064;4189;265;15.77;-1.3;47.1;-4045;52335;-11814;470606
16698;GUEMENE-PENFAO;44067;5035;47;105.51;-1.83333;47.6333;-4632;52922;-14957;473748
16699;FERCE;44058;485;22;22.04;-1.41667;47.8;-4169;53107;-12455;474746
16700;PONT-SAINT-MARTIN;44130;5684;259;21.88;-1.58333;47.1167;-4356;52360;-13504;470725
16701;LA CHEVALLERAIS;44221;1377;134;10.23;-1.66667;47.4667;-4453;52742;-14017;472803
16702;CASSON;44027;2089;129;16.15;-1.55;47.3833;-4329;52651;-13334;472309
16703;BONNOEUVRE;44017;561;35;15.66;-1.23333;47.5333;-3969;52808;-11410;473139
16704;SAINT-MARS-DU-DESERT;44179;4027;132;30.46;-1.4;47.3667;-4158;52629;-12421;472159
16705;TREILLIERES;44209;7965;274;29.05;-1.63333;47.3333;-4403;52590;-13736;471951
16706;MOUZILLON;44108;2594;157;16.5;-1.28333;47.15;-4021;52379;-11656;470829
16707;SAINT-SULPICE-DES-LANDES;44191;650;21;30.78;0.79389;47.5748;-3936;52861;-11222;473429
16708;BOURGNEUF-EN-RETZ;44021;3408;64;53.19;-1.95;47.05;-4766;52270;-15710;470235
16709;LA MONTAGNE;44101;5985;1644;3.64;-1.68333;47.1833;-4467;52433;-14102;471124
16710;VAY;44214;1940;53;36.13;-1.7;47.55;-4486;52839;-14204;473317
16711;SEVERAC;44196;1557;69;22.41;-2.08333;47.5333;-4903;52833;-20436;473300
16712;COUERON;44047;18591;422;44.03;-1.73333;47.2167;-4511;52461;-14326;471253
16713;CORDEMAIS;44045;2983;80;37.15;-1.88333;47.2833;-4684;52545;-15244;471725
16714;DREFFEAC;44053;1843;130;14.16;-2.06667;47.4667;-4881;52752;-20324;472835
16715;ORVAULT;44114;24504;885;27.67;-1.61667;47.2667;-4400;52523;-13725;471615
16716;ARTHON-EN-RETZ;44005;3761;95;39.24;-1.95;47.1167;-4750;52352;-15619;470659
16717;SOUDAN;44199;2013;37;53.82;-1.3;47.7333;-4046;53042;-11817;474415
16718;GENESTON;44223;3524;438;8.04;0.487223;47.0556;-4277;52284;-13046;470320
16719;LA LIMOUZINIERE;44083;2139;72;29.54;-1.6;46.9833;-4370;52215;-13547;465935
16720;BOUVRON;44023;2863;60;47.63;-1.85;47.4167;-4649;52686;-15052;472504
16721;MESQUER;44097;1727;103;16.72;-2.45;47.4;-5329;52666;-22736;472358
16722;DERVAL;44051;3246;51;63.51;-1.66667;47.6667;-4453;52964;-14017;474003
16723;LE GAVRE;44062;1557;29;53.58;-1.75;47.5167;-4539;52801;-14455;473114
16724;RUFFIGNE;44148;719;21;33.63;-1.5;47.75;-4256;53063;-12937;474525
16725;SAUTRON;44194;6901;399;17.28;-1.66667;47.2667;-4450;52515;-14006;471549
16726;CLISSON;44043;6732;595;11.3;-1.28333;47.0833;-4022;52319;-11701;470513
16727;MACHECOUL;44087;5914;88;66.62;-1.81667;47;-4621;52214;-14922;465935
16728;POUILLE-LES-COTEAUX;44134;873;74;11.72;-1.16667;47.45;-3887;52728;-10944;472719
16729;CHATEAU-THEBAUD;44037;2862;162;17.64;0.580279;47.125;-4173;52361;-12511;470730
16730;LIGNE;44082;4592;101;45.41;-1.38333;47.4167;-4126;52680;-12238;472442
16731;LA GRIGONNAIS;44224;1548;72;21.22;-1.66667;47.5333;-4449;52808;-14003;473136
16732;VUE;44220;1415;72;19.51;-1.88333;47.2;-4686;52443;-15252;471155
16733;LA CHAPELLE-DES-MARAIS;44030;3772;208;18.05;-2.25;47.45;-5087;52719;-21430;472650
16734;PONTCHATEAU;44129;9683;173;55.79;-2.08333;47.4333;-4916;52708;-20516;472613
16735;SAINT-ETIENNE-DE-MONTLUC;44158;6611;114;57.57;-1.78333;47.2667;-4574;52529;-14649;471635
16736;ROUANS;44145;2663;70;37.73;-1.86667;47.1833;-4662;52428;-15135;471107
16737;FROSSAY;44061;2977;52;57.22;-1.93333;47.25;-4745;52493;-15603;471438
16738;NOTRE-DAME-DES-LANDES;44111;1970;52;37.4;-1.7;47.3833;-4496;52646;-14236;472251
16739;MONNIERES;44100;1932;197;9.78;-1.35;47.1333;-4103;52368;-12121;470754
16740;SAINT-JULIEN-DE-CONCELLES;44169;6820;214;31.74;-1.38333;47.25;-4136;52504;-12308;471512
16741;PORNICHET;44132;10451;824;12.67;-2.35;47.25;-5196;52518;-22024;471557
16742;LEGE;44081;4290;67;63.32;-1.6;46.8833;-4372;52095;-13556;465308
16743;CHAUVE;44038;2515;61;40.98;-1.98333;47.15;-4803;52390;-15910;470904
16744;SAINT-LUMINE-DE-COUTAIS;44174;1891;107;17.64;-1.71667;47.05;-4514;52283;-14335;470316
16745;VIEILLEVIGNE;44216;3905;75;51.76;-1.43333;46.9667;-4189;52190;-12600;465816
16746;RIAILLE;44144;2127;42;50.02;-1.28333;47.5167;-4035;52799;-11744;473108
16747;LES MOUTIERS-EN-RETZ;44106;1316;137;9.58;1.99834;47.0634;-4820;52293;-20006;470348
16748;SAINT-JULIEN-DE-VOUVANTES;44170;924;36;25.6;-1.23333;47.65;-3972;52935;-11420;473830
16749;SAINT-HILAIRE-DE-CHALEONS;44164;1967;56;34.98;-1.86667;47.1;-4668;52337;-15154;470611
16750;SAINT-GILDAS-DES-BOIS;44161;3454;103;33.42;-2.03333;47.5167;-4861;52796;-20218;473059
16751;LA CHAPELLE-HEULIN;44032;3045;226;13.47;-1.33333;47.1833;-4085;52418;-12026;471035
16752;SAINTE-REINE-DE-BRETAGNE;44189;2135;108;19.73;-2.18333;47.4333;-5033;52712;-21138;472626
16753;PETIT-MARS;44122;3462;133;25.97;-1.45;47.4;-4213;52660;-12718;472339
16754;VERTOU;44215;21443;600;35.68;-1.48333;47.1667;-4231;52409;-12817;471005
16755;LA MEILLERAYE-DE-BRETAGNE;44095;1345;48;27.63;-1.4;47.55;-4153;52844;-12405;473335
16756;NANTES;44109;284970;4371;65.19;-1.55;47.2167;-4323;52464;-13314;471302
16757;ROUGE;44146;2253;40;56.32;-1.45;47.7833;-4205;53092;-12654;474658
16758;SAINTE-LUCE-SUR-LOIRE;44172;11907;1039;11.45;-1.5;47.25;-4248;52500;-12912;471458
16759;SAINT-MOLF;44183;2324;101;22.82;-2.41667;47.3833;-5290;52657;-22530;472329
16760;SAINT-AIGNAN-GRANDLIEU;44150;3506;195;17.94;0.369445;47.1239;-4408;52360;-13750;470726
16761;MESANGER;44096;4394;88;49.75;-1.23333;47.4333;-3964;52704;-11353;472559
16762;BATZ-SUR-MER;44010;3071;331;9.27;-2.48333;47.2833;-5352;52530;-22849;471638
16763;MOISDON-LA-RIVIERE;44099;1920;38;50.43;-1.36667;47.6167;-4121;52913;-12220;473717
16764;CHEIX-EN-RETZ;44039;844;101;8.34;-1.81667;47.1833;-4613;52424;-14856;471054
16765;LE CROISIC;44049;4050;900;4.5;-2.51667;47.3;-5385;52548;-23038;471735
16766;REZE;44143;38425;2788;13.78;-1.56667;47.2;-4340;52434;-13409;471126
16767;SAINT-NICOLAS-DE-REDON;44185;3109;139;22.32;-2.06667;47.65;-4892;52938;-20358;473839
16768;CHATEAUBRIANT;44036;12022;357;33.62;-1.38333;47.7167;-4125;53019;-12234;474301
16769;SAINT-PHILBERT-DE-GRAND-LIEU;44188;8061;137;58.81;-1.63333;47.0333;-4418;52261;-13824;470206
16770;CHEMERE;44040;2259;60;37.31;-1.91667;47.1167;-4724;52358;-15453;470719
16771;PIERRIC;44123;943;34;27.3;-1.73333;47.6833;-4526;52985;-14412;474112
16772;AIGREFEUILLE-SUR-MAINE;44002;3320;227;14.58;-1.4;47.0667;-4152;52307;-12402;470436
16773;LA BOISSIERE-DU-DORE;44016;913;97;9.41;0.780001;47.232;-3952;52480;-11312;471355
16774;JANS;44076;1098;33;33.21;-1.61667;47.6167;-4389;52913;-13650;473716
16775;HERIC;44073;5276;71;73.93;-1.65;47.4167;-4431;52681;-13906;472445
16776;PLESSE;44128;4631;44;104.38;-1.88333;47.5333;-4693;52824;-15313;473230
16777;BARBECHAT;44008;1284;109;11.76;-1.28333;47.2833;-4025;52531;-11711;471639
16778;ANETZ;44004;1910;128;14.83;-1.1;47.3833;-3821;52647;-10610;472256
16779;BOUAYE;44018;5958;430;13.83;-1.7;47.15;-4473;52382;-14120;470837
16780;SAINT-ETIENNE-DE-MER-MORTE;44157;1483;54;27.33;-1.75;46.9333;-4532;52144;-14434;465547
16781;GUERANDE;44069;15534;190;81.44;-2.43333;47.3333;-5295;52587;-22545;471941
16782;LA BERNERIE-EN-RETZ;44012;2564;421;6.09;-2.03333;47.0833;-4860;52313;-20215;470453
16783;MASSERAC;44092;643;34;18.78;-1.91667;47.6667;-4723;52970;-15453;474022
16784;NOYAL-SUR-BRUTZ;44112;582;75;7.71;-1.33333;47.7833;-4092;53085;-12049;474634
16785;SOULVACHE;44200;397;35;11.27;-1.46667;47.8333;-4233;53144;-12824;474945
16786;LAVAU-SUR-LOIRE;44080;758;46;16.22;-1.96667;47.3;-4781;52563;-15801;471825
16787;SAINTE-ANNE-SUR-BRIVET;44152;2588;99;25.99;1.99667;47.4598;-4822;52733;-20012;472735
16788;SAINT-JOACHIM;44168;4046;46;86.22;-2.2;47.3833;-5041;52647;-21203;472256
16789;SAINT-COLOMBAN;44155;3129;87;35.72;0.41639;47.0089;-4355;52232;-13501;470032
16790;LA ROCHE-BLANCHE;44222;1131;76;14.82;-1.13333;47.4333;-3863;52712;-10826;472627
16791;TOUVOIS;44206;1627;41;39.21;-1.68333;46.9;-4466;52114;-14059;465410
16792;LUSANGER;44086;1019;28;35.38;-1.58333;47.6833;-4361;52979;-13518;474051
16793;ANCENIS;44003;7551;376;20.07;-1.16667;47.3667;-3905;52636;-11042;472222
16794;ABBARETZ;44001;1916;31;61.76;-1.53333;47.55;-4298;52836;-13154;473309
16795;SAINT-LUMINE-DE-CLISSON;44173;1959;107;18.26;-1.33333;47.0833;-4082;52315;-12013;470501
16796;CONQUEREUIL;44044;1046;31;32.87;-1.75;47.6167;-4542;52916;-14505;473728
16797;VARADES;44213;3514;76;45.82;-1.03333;47.3833;-3740;52649;-10148;472304
16798;NORT-SUR-ERDRE;44110;7781;116;66.56;-1.5;47.4333;-4261;52711;-12954;472622
16799;SAINT-BREVIN-LES-PINS;44154;12248;634;19.29;-2.16667;47.25;-5004;52496;-21001;471447
16800;BESNE;44013;2646;150;17.54;-2.08333;47.4;-4920;52664;-20529;472351
16801;LA PLAINE-SUR-MER;44126;3835;233;16.39;-2.16667;47.1333;-5029;52375;-21123;470815
16802;CROSSAC;44050;2739;105;25.85;-2.16667;47.4167;-5005;52679;-21006;472441
16803;BOUEE;44019;860;40;21.34;-1.91667;47.3167;-4718;52579;-15436;471915
16804;VIGNEUX-DE-BRETAGNE;44217;5438;99;54.68;-1.73333;47.3167;-4527;52585;-14418;471934
16805;LE TEMPLE-DE-BRETAGNE;44203;1850;1156;1.6;-1.78333;47.3167;-4585;52587;-14724;471941
16806;SAINT-MARS-DE-COUTAIS;44178;2505;72;34.67;-1.73333;47.1167;-4525;52347;-14409;470645
16807;MOUAIS;44105;388;39;9.93;-1.65;47.7;-4423;52995;-13840;474144
16808;GETIGNE;44063;3397;141;23.97;-1.25;47.0667;-3984;52306;-11458;470432
