id;nom;insee;pop_2010;densite_2010;surface;long_deg;lat_deg
159;CORMARANCHE-EN-BUGEY;1122;859;45;18.92;5.6;45.95
160;SAINTE-EUPHEMIE;1353;1482;321;4.61;4.78333;45.9667
161;BEAUPONT;1029;624;44;14.07;5.26667;46.4
162;BRENS;1061;1158;167;6.9;5.69473;45.7187
163;RAMASSE;1317;250;25;9.86;5.35;46.2
164;DIVONNE-LES-BAINS;1143;8160;240;33.88;6.13333;46.3667
165;LEAZ;1209;569;49;11.4;5.88333;46.1
166;VILLES;1448;385;41;9.21;5.78333;46.0833
167;SAINT-JULIEN-SUR-REYSSOUZE;1367;668;88;7.52;5.11667;46.4
168;GROSLEE;1182;353;48;7.27;5.56667;45.7167
169;VANDEINS;1429;619;65;9.4;5.08333;46.2167
170;VERJON;1432;250;48;5.11;5.35;46.35
171;SAINT-ANDRE-SUR-VIEUX-JONC;1336;1079;44;24.22;5.06667;46.15
172;SAINT-ANDRE-D'HUIRIAT;1334;543;60;9;4.91667;46.2167
173;GRILLY;1180;762;101;7.5;6.11667;46.3333
174;CESSY;1071;3992;624;6.39;6.06667;46.3167
175;ORDONNAZ;1280;141;9;14.88;5.53333;45.8333
176;VESCOURS;1437;208;16;12.48;5.03333;46.4667
177;MEILLONNAS;1241;1298;73;17.74;5.35;46.25
178;GEOVREISSET;1171;903;272;3.31;5.6;46.25
179;CEYZERIEU;1073;929;47;19.72;5.73333;45.8333
180;BEARD-GEOVREISSIAT;1170;925;197;4.69;5.56667;46.2
181;LA BURBANCHE;1066;72;6;10.82;5.56667;45.85
182;PERREX;1291;826;74;11.07;4.98333;46.2333
183;VILLEMOTIER;1445;632;45;13.86;5.31667;46.35
184;JASSERON;1195;1552;81;18.93;5.33333;46.2167
185;CORVEISSIAT;1125;602;26;22.69;5.48333;46.2333
186;JOURNANS;1197;324;133;2.43;5.33333;46.15
187;SERMOYER;1402;669;40;16.7;4.98333;46.5
188;CHARIX;1087;294;16;18.27;5.68333;46.1833
189;ARBIGNIEU;1015;480;36;13.07;5.65;45.7333
190;LEYSSARD;1214;153;16;9.13;5.46667;46.1667
191;SAINT-JEAN-DE-THURIGNEUX;1362;710;44;16;4.88333;45.95
192;FRANS;1166;1984;248;7.98;4.78333;45.9833
193;TENAY;1416;1120;85;13.12;5.5;45.9167
194;BAGE-LA-VILLE;1025;3040;76;39.68;4.95;46.3167
195;MONTMERLE-SUR-SAONE;1263;3823;918;4.16;4.76667;46.0833
196;COURMANGOUX;1127;507;34;14.82;5.36667;46.3333
197;BANEINS;1028;572;64;8.91;4.9;46.1167
198;LAGNIEU;1202;6756;247;27.25;5.35;45.9
199;ATTIGNAT;1024;2936;157;18.69;5.16667;46.2833
200;SAINT-ANDRE-DE-BAGE;1332;635;235;2.7;4.91667;46.3
201;PONT-DE-VAUX;1305;2205;292;7.54;4.93333;46.4333
202;AMBERIEU-EN-BUGEY;1004;13835;562;24.6;5.35;45.95
203;PEYZIEUX-SUR-SAONE;1295;473;54;8.66;4.81667;46.1167
204;CROZET;1135;1862;67;27.47;6.01251;46.2806
205;SEYSSEL;1407;942;392;2.4;5.83194;45.9597
206;BEYNOST;1043;4475;420;10.64;5;45.8333
207;VERSONNEX;1435;2144;364;5.89;6.09723;46.3023
208;SAINT-LAURENT-SUR-SAONE;1370;1749;3300;0.53;4.83333;46.3
209;ARTEMARE;1022;1126;300;3.75;5.7;45.8667
210;MONTRACOL;1264;967;66;14.56;5.11667;46.1833
211;PARVES;1286;360;65;5.53;5.75;45.75
212;PUGIEU;1316;168;34;4.85;5.65;45.8167
213;VIRIEU-LE-GRAND;1452;1156;92;12.55;5.65;45.85
214;SAINT-REMY;1385;906;122;7.38;5.16667;46.1833
215;RANCE;1318;641;67;9.53;4.86667;45.9667
216;GRIEGES;1179;1899;127;14.87;4.85;46.25
217;GRAND-CORENT;1177;161;22;7.13;5.43333;46.2
218;OUTRIAZ;1282;256;43;5.91;5.55;46.0667
219;MONTAGNIEU;1255;495;79;6.22;5.46667;45.8
220;CHAMPAGNE-EN-VALROMEY;1079;765;42;18.16;5.68333;45.9
221;AMBERIEUX-EN-DOMBES;1005;1616;101;15.92;4.9;46
222;LA BOISSE;1049;2928;311;9.4;5.03333;45.85
223;PARCIEUX;1285;1095;348;3.14;4.81667;45.9167
224;SAINT-DIDIER-D'AUSSIAT;1346;863;56;15.22;5.06667;46.3
225;SAINT-NIZIER-LE-BOUCHOUX;1380;703;24;28.3;5.15;46.45
226;ARS-SUR-FORMANS;1021;1367;248;5.5;4.81667;45.9833
227;ANGLEFORT;1010;994;33;29.26;5.80833;45.9167
228;CORLIER;1121;124;22;5.45;5.5;46.0333
229;FERNEY-VOLTAIRE;1160;8025;1678;4.78;6.11667;46.25
230;SAINT-MAURICE-DE-REMENS;1379;709;68;10.35;5.28333;45.95
231;CHATILLON-LA-PALUD;1092;1562;111;14.01;5.25;45.9667
232;SAINT-SULPICE;1387;142;26;5.26;5.04167;46.3203
233;SAINT-BOIS;1340;123;13;9.42;5.63333;45.7
234;VIRIGNIN;1454;855;108;7.88;5.71667;45.7167
235;PREMILLIEU;1311;36;4;8.51;5.56667;45.8667
236;GENOUILLEUX;1169;609;149;4.08;4.78333;46.1167
237;REYSSOUZE;1323;929;97;9.54;4.91667;46.4333
238;COLLONGES;1109;1897;116;16.25;5.9;46.1333
239;SAINT-GERMAIN-DE-JOUX;1357;480;42;11.27;5.73333;46.1833
240;BREGNIER-CORDON;1058;832;75;11;5.61667;45.65
241;SAINT-MARTIN-LE-CHATEL;1375;790;61;12.77;5.11667;46.2833
242;MARIGNIEU;1234;148;41;3.55;5.71667;45.8
243;LES NEYROLLES;1274;637;67;9.5;5.63333;46.1333
244;SULIGNAT;1412;569;52;10.8;4.96667;46.1667
245;BENY;1038;724;39;18.25;5.28333;46.3333
246;INJOUX-GENISSIAT;1189;1055;35;29.61;5.78333;46.05
247;CHANAY;1082;617;34;18.1;5.78333;46
248;CHATILLON-SUR-CHALARONNE;1093;4922;273;17.98;4.96667;46.1167
249;FARGES;1158;854;59;14.28;5.91667;46.1667
250;SAINT-ALBAN;1331;163;20;8.08;5.45;46.1
251;CURTAFOND;1140;702;56;12.41;5.08333;46.2667
252;VIRIAT;1451;6006;133;45.03;5.21667;46.25
253;BELLEYDOUX;1035;321;18;17.63;5.76667;46.25
254;BAGE-LE-CHATEL;1026;796;904;0.88;4.93333;46.3
255;SAINTE-OLIVE;1382;303;41;7.39;4.93333;46.0167
256;SAINT-GENIS-SUR-MENTHON;1355;408;35;11.55;5.01667;46.2833
257;DOMSURE;1147;473;31;15.2;5.3;46.4167
258;CHAVANNES-SUR-SURAN;1095;644;29;21.5;5.41667;46.2667
259;PRIAY;1314;1488;94;15.77;5.28333;46
260;PEYRIEU;1294;821;58;14.13;5.67751;45.6767
261;LALLEYRIAT;1204;239;15;15.25;5.71667;46.15
262;SERGY;1401;1977;208;9.46;6;46.25
263;SAINT-MARTIN-DU-FRENE;1373;1077;56;19.14;5.55;46.1333
264;SAINT-MAURICE-DE-BEYNOST;1376;3865;552;6.99;4.96667;45.8333
265;SERVAS;1405;1184;90;13.05;5.16667;46.1333
266;CUZIEU;1141;407;83;4.87;5.67445;45.8192
267;JAYAT;1196;1049;64;16.3;5.11667;46.3667
268;LAVOURS;1208;148;23;6.3;5.76667;45.8
269;CHEVROUX;1102;933;54;17.2;4.95;46.3833
270;POLLIEU;1302;157;42;3.71;5.75;45.8
271;BELIGNEUX;1032;2905;218;13.3;5.11667;45.8667
272;BRENAZ;1059;92;9;9.79;5.71667;45.95
273;BENONCES;1037;275;17;15.33;5.48333;45.8333
274;SAINT-JEAN-LE-VIEUX;1363;1609;104;15.33;5.38917;46.0284
275;BEAUREGARD;1030;870;925;0.94;4.75139;46.002
276;OYONNAX;1283;22650;626;36.18;5.66667;46.25
277;MIONNAY;1248;2077;105;19.62;4.93333;45.9
278;GERMAGNAT;1172;145;15;9.48;5.45;46.3167
279;COLIGNY;1108;1154;68;16.87;5.35;46.3833
280;SIMANDRE-SUR-SURAN;1408;650;39;16.3;5.41667;46.2167
281;L'ABERGEMENT-CLEMENCIAT;1001;784;49;15.95;4.91667;46.15
282;LESCHEROUX;1212;683;34;20.05;5.15;46.4
283;ORNEX;1281;3531;626;5.64;6.1;46.2833
284;DOMMARTIN;1144;841;48;17.19;4.99167;46.3417
285;LOMPNAS;1219;149;11;12.69;5.51667;45.8
286;BETTANT;1041;724;214;3.37;5.36667;45.9333
287;ARMIX;1019;20;2;6.82;5.58333;45.85
288;FEILLENS;1159;3115;208;14.91;4.88333;46.3333
289;CHAVORNAY;1097;199;25;7.77;5.7;45.8833
290;CHALLEX;1078;1225;141;8.67;5.96667;46.1833
291;VONGNES;1456;74;36;2.05;5.71667;45.8167
292;MAGNIEU;1227;419;67;6.23;5.71667;45.7833
293;GROISSIAT;1181;1143;180;6.32;5.6;46.2167
294;DOMPIERRE-SUR-CHALARONNE;1146;389;81;4.78;4.9;46.1333
295;MONTLUEL;1262;6999;174;40.11;5.05;45.85
296;LE POIZAT;1300;422;23;17.9;5.7;46.15
297;HOSTIAZ;1186;82;7;10.6;5.53333;45.9
298;MONTANGES;1257;330;24;13.7;5.8;46.1667
299;SAINTE-JULIE;1366;889;79;11.15;5.28333;45.8833
300;BEY;1042;245;88;2.77;4.85;46.2167
301;SONTHONNAX-LA-MONTAGNE;1410;320;22;14.14;5.53333;46.2333
302;MEZERIAT;1246;2072;108;19.17;5.03333;46.2333
303;BELLIGNAT;1031;3537;451;7.83;5.61667;46.25
304;SAINT-MARCEL;1371;1212;104;11.64;4.98723;45.9487
305;BELLEY;1034;8755;390;22.42;5.68333;45.7667
306;CORBONOD;1118;1176;37;31.59;5.81667;45.95
307;NEYRON;1275;2472;461;5.36;4.93223;45.8148
308;SAINT-PAUL-DE-VARAX;1383;1551;59;25.97;5.13333;46.1
309;PRESSIAT;1312;224;37;6.01;5.38333;46.3333
310;CHAZEY-BONS;1098;744;70;10.59;5.68333;45.8
311;SERVIGNAT;1406;160;20;7.99;5.06667;46.4333
312;MARLIEUX;1235;887;52;16.85;5.06667;46.0667
313;ANDERT-ET-CONDON;1009;340;48;6.94;5.65;45.8
314;HAUTECOURT-ROMANECHE;1184;773;35;21.6;5.41667;46.1583
315;CROTTET;1134;1722;142;12.12;4.9;46.2833
316;DRUILLAT;1151;1134;54;20.72;5.31667;46.0667
317;DOMPIERRE-SUR-VEYLE;1145;1226;42;29.1;5.2;46.0667
318;PEROUGES;1290;1204;63;18.97;5.18333;45.9
319;RIGNIEUX-LE-FRANC;1325;950;63;15.02;5.18333;45.9333
320;GIRON;1174;162;17;9.39;5.76667;46.2333
321;CERDON;1068;741;60;12.3;5.46667;46.0833
322;CRUZILLES-LES-MEPILLAT;1136;818;69;11.84;4.88333;46.2167
323;LELEX;1210;225;12;17.63;5.95;46.3
324;LHOPITAL;1215;59;16;3.68;5.77834;46.0217
325;SEGNY;1399;1649;508;3.24;6.08333;46.3
326;CHEIGNIEU-LA-BALME;1100;157;25;6.26;5.61667;45.8333
327;SAINT-VULBAS;1390;957;44;21.44;5.28333;45.8333
328;ECHALLON;1152;772;27;28.09;5.74139;46.21
329;LE MONTELLIER;1260;244;15;15.38;5.06667;45.9333
330;MARTIGNAT;1237;1604;121;13.25;5.6;46.2167
331;CEYZERIAT;1072;2738;292;9.36;5.31667;46.1667
332;MONTCET;1259;665;99;6.68;5.11667;46.2
333;VONNAS;1457;2790;156;17.81;5;46.2167
334;BUELLAS;1065;1669;163;10.21;5.13333;46.2
335;SAINT-BENIGNE;1337;1161;70;16.49;4.96667;46.4333
336;CHEVILLARD;1101;162;24;6.67;5.58333;46.1167
337;BOULIGNEUX;1052;309;11;26.09;5;46.0167
338;CONTREVOZ;1116;539;38;14.18;5.63333;45.8
339;CHAMPDOR;1080;464;26;17.37;5.6;46.0167
340;PORT;1307;847;199;4.25;5.56667;46.1667
341;SURJOUX;1413;78;18;4.31;5.8;46.0167
342;CHAMPFROMIER;1081;677;20;32.4;5.81667;46.2
343;VESINES;1439;91;23;3.88;4.86667;46.35
344;SEILLONNAZ;1400;138;14;9.59;5.48333;45.8
345;VARAMBON;1430;521;65;7.99;5.31667;46.0333
346;LE GRAND-ABERGEMENT;1176;109;3;31.92;5.66667;46.0333
